City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
147,Komsomolskiy,UZ,40.4272,71.7189,287.55,67,0,2.06,clear sky,2022-09-14 01:10:13
148,Iralaya,HN,15.0,-83.2333,300.61,78,12,3.24,few clouds,2022-09-14 01:10:13
149,Veraval,IN,20.9,70.3667,299.48,87,100,1.92,heavy intensity rain,2022-09-14 01:10:14
150,Ahipara,NZ,-35.1667,173.1667,287.86,65,87,4.11,overcast clouds,2022-09-14 01:10:14
151,Cabo San Lucas,MX,22.8909,-109.9124,303.49,65,0,4.12,clear sky,2022-09-14 01:07:29
152,Bredasdorp,ZA,-34.5322,20.0403,282.77,93,0,1.96,clear sky,2022-09-14 01:10:15
153,Tiksi,RU,71.6872,128.8694,278.69,75,97,2.36,overcast clouds,2022-09-14 01:10:16
154,Lima,PE,-12.0432,-77.0282,288.65,83,100,6.69,overcast clouds,2022-09-14 01:09:48
155,Vietri Sul Mare,IT,40.6687,14.7253,295.97,100,27,0.85,scattered clouds,2022-09-14 01:10:17
156,Troitskoye,RU,52.9821,84.6757,277.48,66,7,2.69,clear sky,2022-09-14 01:10:18
157,Khed Brahma,IN,24.0333,73.05,298.56,90,100,1.38,overcast clouds,2022-09-14 01:10:18
158,Airai,TL,-8.9266,125.4092,296.52,36,78,2.76,broken clouds,2022-09-14 01:10:19
159,Port Blair,IN,11.6667,92.75,300.46,79,100,4.74,overcast clouds,2022-09-14 01:10:19
160,Axim,GH,4.8699,-2.2405,296.37,93,83,2.67,broken clouds,2022-09-14 01:10:20
161,Zastron,ZA,-30.3023,27.084,282.23,28,0,2.24,clear sky,2022-09-14 01:10:20
162,College,US,64.8569,-147.8028,291.33,51,75,0.0,broken clouds,2022-09-14 01:10:21
163,Tekeli,KZ,44.83,78.8239,284.1,41,68,2.21,broken clouds,2022-09-14 01:10:21
164,Ciudad Bolivar,VE,8.1222,-63.5497,300.68,67,55,3.75,broken clouds,2022-09-14 01:10:22
165,Tautira,PF,-17.7333,-149.15,298.38,73,100,8.72,overcast clouds,2022-09-14 01:10:22
166,Asau,RO,46.4333,26.4,282.66,91,91,2.58,overcast clouds,2022-09-14 01:10:23
167,Soyaux,FR,45.65,0.2,295.19,75,0,0.0,clear sky,2022-09-14 01:10:24
168,Mehamn,NO,71.0357,27.8492,278.1,70,75,1.03,broken clouds,2022-09-14 01:10:24
169,Faya,SA,18.3851,42.4509,292.44,48,100,0.37,overcast clouds,2022-09-14 01:10:25
170,Geraldton,AU,-28.7667,114.6,290.38,67,100,2.57,overcast clouds,2022-09-14 01:10:25
171,Thompson,CA,55.7435,-97.8558,280.18,55,7,1.47,clear sky,2022-09-14 01:10:26
172,Berlevag,NO,70.8578,29.0864,278.12,70,75,6.17,broken clouds,2022-09-14 01:10:26
173,Tuktoyaktuk,CA,69.4541,-133.0374,277.3,66,100,7.11,overcast clouds,2022-09-14 01:10:27
174,Samarai,PG,-10.6167,150.6667,300.26,81,25,5.22,scattered clouds,2022-09-14 01:10:27
175,Bayan,CN,46.0833,127.4,290.46,63,0,3.79,clear sky,2022-09-14 01:10:28
176,Longyearbyen,SJ,78.2186,15.6401,275.06,75,75,1.03,broken clouds,2022-09-14 01:10:28
177,Vostok,RU,46.4856,135.8833,287.68,48,0,1.24,clear sky,2022-09-14 01:10:30
178,Saskylakh,RU,71.9167,114.0833,274.62,82,91,4.36,overcast clouds,2022-09-14 01:10:30
179,Talnakh,RU,69.4865,88.3972,273.87,92,98,3.1,overcast clouds,2022-09-14 01:10:31
180,Scarborough,GB,54.2797,-0.4044,285.32,88,0,2.71,clear sky,2022-09-14 01:08:09
181,Cururupu,BR,-1.8283,-44.8683,297.19,87,6,2.03,clear sky,2022-09-14 01:10:32
182,Lodja,CD,-3.4833,23.4333,293.86,97,98,0.79,light rain,2022-09-14 01:10:32
183,Okoneshnikovo,RU,54.8377,75.0834,278.43,64,33,1.33,scattered clouds,2022-09-14 01:10:33
184,Tura,IN,25.5198,90.2201,295.46,95,100,1.83,overcast clouds,2022-09-14 01:10:33
185,Castro,BR,-24.7911,-50.0119,288.84,98,100,0.99,overcast clouds,2022-09-14 01:10:34
186,Katsuura,JP,35.1333,140.3,302.16,75,16,5.95,few clouds,2022-09-14 01:06:08
187,Bandar-E Lengeh,IR,26.5579,54.8807,304.48,65,0,3.58,clear sky,2022-09-14 01:07:24
188,Orodara,BF,10.9492,-4.9342,293.66,95,16,0.96,few clouds,2022-09-14 01:10:35
189,La Palma,US,33.8464,-118.0467,302.54,63,20,4.12,few clouds,2022-09-14 01:10:35
190,Torbay,CA,47.6666,-52.7314,287.19,95,100,3.13,overcast clouds,2022-09-14 01:10:36
191,Zhangjiakou,CN,40.81,114.8794,293.54,65,0,0.92,clear sky,2022-09-14 01:10:36
192,Plastun,RU,44.7561,136.2939,290.34,62,14,1.66,few clouds,2022-09-14 01:10:37
193,Boguchany,RU,58.3814,97.4531,278.6,76,43,0.88,scattered clouds,2022-09-14 01:10:37
194,Ola,RU,59.5833,151.2833,284.9,50,100,2.32,overcast clouds,2022-09-14 01:10:38
195,Te Anau,NZ,-45.4167,167.7167,279.97,78,33,0.48,scattered clouds,2022-09-14 01:10:38
196,Itaituba,BR,-4.2761,-55.9836,297.66,75,47,1.09,scattered clouds,2022-09-14 01:10:39
197,Cabinda,AO,-5.55,12.2,295.76,86,79,1.91,broken clouds,2022-09-14 01:10:39
198,Pokhara,NP,28.2333,83.9833,294.49,93,76,0.39,broken clouds,2022-09-14 01:10:40
199,Springbok,ZA,-29.6643,17.8865,287.17,13,0,5.02,clear sky,2022-09-14 01:10:40
200,Mus,TR,39.0,41.75,288.21,51,53,1.31,broken clouds,2022-09-14 01:07:25
201,Saint-Philippe,RE,-21.3585,55.7679,291.92,73,99,0.19,overcast clouds,2022-09-14 01:10:41
202,El Prat De Llobregat,ES,41.3278,2.0947,300.43,65,20,4.12,few clouds,2022-09-14 01:10:03
203,Saint George,US,37.1041,-113.5841,298.39,60,20,2.57,few clouds,2022-09-14 01:10:41
204,Slyudyanka,RU,51.6594,103.7061,280.62,95,100,0.71,overcast clouds,2022-09-14 01:10:42
205,Noumea,NC,-22.2763,166.4572,298.71,99,98,3.84,overcast clouds,2022-09-14 01:10:42
206,Krasnoye-Na-Volge,RU,57.5125,41.2419,282.15,78,100,5.01,overcast clouds,2022-09-14 01:10:43
207,Altay,CN,47.8667,88.1167,284.85,32,100,1.64,overcast clouds,2022-09-14 01:10:43
208,Leningradskiy,RU,69.3833,178.4167,275.22,99,100,2.5,light rain,2022-09-14 01:10:44
209,Lagoa,PT,39.05,-27.9833,296.52,88,47,5.99,light rain,2022-09-14 01:10:44
210,Ostrovnoy,RU,68.0531,39.5131,281.78,85,100,8.43,overcast clouds,2022-09-14 01:10:45
