City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Kaitong,CN,70.65,overcast clouds,44.8135,123.15,Jinhe Fashion Hotel
588,Sotouboua,TG,69.53,overcast clouds,8.5667,0.9833,Auberge Médina
589,Conceicao Do Araguaia,BR,83.73,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
590,Taree,AU,68.05,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
591,Vaxjo,SE,55.45,scattered clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
592,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
594,Santa Fe,AR,60.03,light rain,-31.6333,-60.7,Conquistador Hotel
597,Kanlagay,PH,85.62,broken clouds,5.8757,121.2915,
598,Ouadda,CF,68.18,light rain,8.0777,22.4007,
599,Kibre Mengist,ET,58.91,overcast clouds,5.8833,38.9833,kal beauty salone adola
600,Dongsheng,CN,65.79,clear sky,39.8161,109.9776,Crowne Plaza Ordos
601,Bose,IT,70.29,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
602,Lalsot,IN,79.32,broken clouds,26.5667,76.3333,Sharma Hotel
603,Tabora,TZ,66.22,broken clouds,-5.0167,32.8,Barcelona Lodge
604,Wukari,NG,68.68,overcast clouds,7.85,9.7833,Elimtop
606,Kwekwe,ZW,55.78,clear sky,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
607,Sterling,US,71.22,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
608,Puerto Escondido,MX,74.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
610,Nantong,CN,76.98,overcast clouds,32.0303,120.8747,Overseas Chinese Hotel Nantong
611,Polessk,RU,55.45,few clouds,54.862,21.1028,Vocation House
612,Marawi,PH,83.68,broken clouds,7.9986,124.2928,Derogongan Residence
613,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
614,Mpika,ZM,58.93,broken clouds,-11.8343,31.4529,Melodies Lodge
615,Whitehorse,CA,56.17,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
618,Rundu,,63.66,clear sky,-17.9333,19.7667,Millennia Estate
619,Lebanon,US,71.96,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
620,Mabaruma,GY,74.1,few clouds,8.2,-59.7833,Monty Brooms Guest House
621,Yumen,CN,72.1,clear sky,40.2833,97.2,
622,Shwebo,MM,83.1,broken clouds,22.5667,95.7,MOON SHINE Guest House
623,Panaba,MX,77.29,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
624,Oussouye,SN,78.48,overcast clouds,12.485,-16.5469,Auberge du Routard
627,Kailua,US,86.02,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
628,Santa Marta,CO,81.9,few clouds,11.2408,-74.199,Hotel La Ballena Azul
629,Fort Smith,US,75.24,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
630,Gravelbourg,CA,57.47,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
631,Chazuta,PE,79.65,scattered clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
633,Napanee,CA,67.84,scattered clouds,44.2501,-76.9494,Fox Motor Inn
634,Quatre Cocos,MU,69.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
635,Morgan City,US,73.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
636,Mchinji,MW,59.36,broken clouds,-13.7984,32.8802,Kayesa Inn
637,Hatillo,PR,80.11,overcast clouds,18.4863,-66.8254,El Buen Hotel
638,Tomatlan,MX,74.84,overcast clouds,19.9333,-105.25,El Salvial
639,Hamilton,US,65.25,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
642,North Bend,US,65.25,fog,43.4065,-124.2243,Red Lion Hotel Coos Bay
643,San Miguel,SV,82.06,moderate rain,13.4833,-88.1833,Excalibur
644,Esmeraldas,BR,72.46,broken clouds,-19.7625,-44.3139,Forasteiro Pousada
646,Digras,IN,77.63,overcast clouds,20.1167,77.7167,Swad Restaurant
647,Mogadishu,SO,76.08,overcast clouds,2.0371,45.3438,Hotel Juba
648,Nichinan,JP,87.48,scattered clouds,31.6,131.3667,Guest House Aki
649,Key West,US,86.0,thunderstorm,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
651,Sao Felix Do Xingu,BR,76.68,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
653,Bourail,NC,74.98,broken clouds,-21.5667,165.4833,Motel Allamanda
654,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
655,Sergiyevsk,RU,57.16,overcast clouds,53.9413,51.165,Vertikal'
656,Motril,ES,76.05,overcast clouds,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
657,Yenagoa,NG,73.51,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
658,Salmo,CA,64.89,few clouds,49.1999,-117.2689,Reno Motel
660,Lepaera,HN,63.07,overcast clouds,14.7833,-88.5833,Villas del Puca Apartamentos
661,Marienburg,PL,55.89,clear sky,54.0359,19.0266,Hotel Centrum Malbork
662,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
663,Terrace,CA,67.91,clear sky,54.5163,-128.6035,Northern Motor Inn
664,Mandiana,GN,69.66,broken clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
665,Qui Nhon,VN,85.89,overcast clouds,13.7667,109.2333,Seagull Hotel
668,Mapimi,MX,77.16,scattered clouds,25.8167,-103.85,Propiedad Lldm
669,Codrington,AU,61.92,moderate rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
671,Venustiano Carranza,MX,66.15,broken clouds,19.43,-99.0992,We Hotel Aeropuerto
672,Parrita,CR,76.84,overcast clouds,9.5201,-84.3225,Beso del Viento
674,Buenaventura,CO,74.64,overcast clouds,3.8801,-77.0312,Hotel Victoria
